"wijk","year","growth"
"Binnenstad",1999,-36
"Bloemekenswijk",1999,12
"Brugse Poort - Rooigem",1999,85
"Dampoort",1999,107
"Drongen",1999,3
"Elisabethbegijnhof - Papegaai",1999,-4
"Gentbrugge",1999,4
"Kanaaldorpen en -zone",1999,5
"Ledeberg",1999,-4
"Macharius - Heirnis",1999,47
"Mariakerke",1999,17
"Moscou - Vogelhoek",1999,21
"Muide - Meulestede - Afrikalaan",1999,-14
"Nieuw Gent - UZ",1999,13
"Oostakker",1999,-1
"Oud Gentbrugge",1999,-1
"Rabot - Blaisantvest",1999,40
"Sint Amandsberg",1999,-16
"Sint Denijs Westrem",1999,-4
"Sluizeken - Tolhuis - Ham",1999,-26
"Stationsbuurt Noord",1999,27
"Stationsbuurt Zuid",1999,-1
"Watersportbaan - Ekkergem",1999,-114
"Wondelgem",1999,4
"Zwijnaarde",1999,19
"Binnenstad",2000,-37
"Bloemekenswijk",2000,-7
"Brugse Poort - Rooigem",2000,74
"Dampoort",2000,65
"Drongen",2000,15
"Elisabethbegijnhof - Papegaai",2000,28
"Gentbrugge",2000,-5
"Kanaaldorpen en -zone",2000,-1
"Ledeberg",2000,-31
"Macharius - Heirnis",2000,22
"Mariakerke",2000,3
"Moscou - Vogelhoek",2000,6
"Muide - Meulestede - Afrikalaan",2000,29
"Nieuw Gent - UZ",2000,32
"Oostakker",2000,27
"Oud Gentbrugge",2000,7
"Rabot - Blaisantvest",2000,45
"Sint Amandsberg",2000,-4
"Sint Denijs Westrem",2000,-5
"Sluizeken - Tolhuis - Ham",2000,21
"Stationsbuurt Noord",2000,15
"Stationsbuurt Zuid",2000,-4
"Watersportbaan - Ekkergem",2000,-106
"Wondelgem",2000,-8
"Zwijnaarde",2000,4
"Binnenstad",2001,-4
"Bloemekenswijk",2001,-3
"Brugse Poort - Rooigem",2001,89
"Dampoort",2001,44
"Drongen",2001,-9
"Elisabethbegijnhof - Papegaai",2001,17
"Gentbrugge",2001,3
"Kanaaldorpen en -zone",2001,5
"Ledeberg",2001,-22
"Macharius - Heirnis",2001,35
"Mariakerke",2001,2
"Moscou - Vogelhoek",2001,24
"Muide - Meulestede - Afrikalaan",2001,2
"Nieuw Gent - UZ",2001,2
"Oostakker",2001,-2
"Oud Gentbrugge",2001,19
"Rabot - Blaisantvest",2001,28
"Sint Amandsberg",2001,14
"Sint Denijs Westrem",2001,-15
"Sluizeken - Tolhuis - Ham",2001,-4
"Stationsbuurt Noord",2001,-3
"Stationsbuurt Zuid",2001,2
"Watersportbaan - Ekkergem",2001,-110
"Wondelgem",2001,25
"Zwijnaarde",2001,24
"Binnenstad",2002,-33
"Bloemekenswijk",2002,9
"Brugse Poort - Rooigem",2002,56
"Dampoort",2002,74
"Drongen",2002,-5
"Elisabethbegijnhof - Papegaai",2002,6
"Gentbrugge",2002,-4
"Kanaaldorpen en -zone",2002,3
"Ledeberg",2002,7
"Macharius - Heirnis",2002,80
"Mariakerke",2002,-9
"Moscou - Vogelhoek",2002,11
"Muide - Meulestede - Afrikalaan",2002,20
"Nieuw Gent - UZ",2002,-10
"Oostakker",2002,-30
"Oud Gentbrugge",2002,23
"Rabot - Blaisantvest",2002,56
"Sint Amandsberg",2002,-28
"Sint Denijs Westrem",2002,-19
"Sluizeken - Tolhuis - Ham",2002,-20
"Stationsbuurt Noord",2002,25
"Stationsbuurt Zuid",2002,5
"Watersportbaan - Ekkergem",2002,-70
"Wondelgem",2002,-9
"Zwijnaarde",2002,26
"Binnenstad",2003,-39
"Bloemekenswijk",2003,28
"Brugse Poort - Rooigem",2003,75
"Dampoort",2003,91
"Drongen",2003,1
"Elisabethbegijnhof - Papegaai",2003,6
"Gentbrugge",2003,3
"Kanaaldorpen en -zone",2003,10
"Ledeberg",2003,-6
"Macharius - Heirnis",2003,45
"Mariakerke",2003,-22
"Moscou - Vogelhoek",2003,20
"Muide - Meulestede - Afrikalaan",2003,23
"Nieuw Gent - UZ",2003,16
"Oostakker",2003,-9
"Oud Gentbrugge",2003,3
"Rabot - Blaisantvest",2003,53
"Sint Amandsberg",2003,-11
"Sint Denijs Westrem",2003,-23
"Sluizeken - Tolhuis - Ham",2003,-16
"Stationsbuurt Noord",2003,16
"Stationsbuurt Zuid",2003,-15
"Watersportbaan - Ekkergem",2003,-100
"Wondelgem",2003,-9
"Zwijnaarde",2003,17
"Binnenstad",2004,-4
"Bloemekenswijk",2004,64
"Brugse Poort - Rooigem",2004,86
"Dampoort",2004,72
"Drongen",2004,16
"Elisabethbegijnhof - Papegaai",2004,51
"Gentbrugge",2004,34
"Kanaaldorpen en -zone",2004,0
"Ledeberg",2004,2
"Macharius - Heirnis",2004,84
"Mariakerke",2004,13
"Moscou - Vogelhoek",2004,21
"Muide - Meulestede - Afrikalaan",2004,38
"Nieuw Gent - UZ",2004,38
"Oostakker",2004,2
"Oud Gentbrugge",2004,38
"Rabot - Blaisantvest",2004,62
"Sint Amandsberg",2004,13
"Sint Denijs Westrem",2004,-18
"Sluizeken - Tolhuis - Ham",2004,17
"Stationsbuurt Noord",2004,30
"Stationsbuurt Zuid",2004,19
"Watersportbaan - Ekkergem",2004,-103
"Wondelgem",2004,-6
"Zwijnaarde",2004,-2
"Binnenstad",2005,-9
"Bloemekenswijk",2005,29
"Brugse Poort - Rooigem",2005,134
"Dampoort",2005,82
"Drongen",2005,3
"Elisabethbegijnhof - Papegaai",2005,22
"Gentbrugge",2005,13
"Kanaaldorpen en -zone",2005,12
"Ledeberg",2005,37
"Macharius - Heirnis",2005,70
"Mariakerke",2005,25
"Moscou - Vogelhoek",2005,33
"Muide - Meulestede - Afrikalaan",2005,61
"Nieuw Gent - UZ",2005,31
"Oostakker",2005,23
"Oud Gentbrugge",2005,19
"Rabot - Blaisantvest",2005,80
"Sint Amandsberg",2005,18
"Sint Denijs Westrem",2005,-24
"Sluizeken - Tolhuis - Ham",2005,6
"Stationsbuurt Noord",2005,47
"Stationsbuurt Zuid",2005,13
"Watersportbaan - Ekkergem",2005,-63
"Wondelgem",2005,1
"Zwijnaarde",2005,9
"Binnenstad",2006,23
"Bloemekenswijk",2006,70
"Brugse Poort - Rooigem",2006,152
"Dampoort",2006,145
"Drongen",2006,56
"Elisabethbegijnhof - Papegaai",2006,39
"Gentbrugge",2006,29
"Kanaaldorpen en -zone",2006,13
"Ledeberg",2006,29
"Macharius - Heirnis",2006,85
"Mariakerke",2006,64
"Moscou - Vogelhoek",2006,43
"Muide - Meulestede - Afrikalaan",2006,44
"Nieuw Gent - UZ",2006,53
"Oostakker",2006,44
"Oud Gentbrugge",2006,75
"Rabot - Blaisantvest",2006,84
"Sint Amandsberg",2006,91
"Sint Denijs Westrem",2006,-17
"Sluizeken - Tolhuis - Ham",2006,17
"Stationsbuurt Noord",2006,59
"Stationsbuurt Zuid",2006,-7
"Watersportbaan - Ekkergem",2006,-40
"Wondelgem",2006,11
"Zwijnaarde",2006,8
"Binnenstad",2007,-11
"Bloemekenswijk",2007,33
"Brugse Poort - Rooigem",2007,121
"Dampoort",2007,133
"Drongen",2007,23
"Elisabethbegijnhof - Papegaai",2007,31
"Gentbrugge",2007,10
"Kanaaldorpen en -zone",2007,11
"Ledeberg",2007,56
"Macharius - Heirnis",2007,66
"Mariakerke",2007,20
"Moscou - Vogelhoek",2007,22
"Muide - Meulestede - Afrikalaan",2007,61
"Nieuw Gent - UZ",2007,67
"Oostakker",2007,20
"Oud Gentbrugge",2007,56
"Rabot - Blaisantvest",2007,83
"Sint Amandsberg",2007,68
"Sint Denijs Westrem",2007,-40
"Sluizeken - Tolhuis - Ham",2007,6
"Stationsbuurt Noord",2007,24
"Stationsbuurt Zuid",2007,13
"Watersportbaan - Ekkergem",2007,-40
"Wondelgem",2007,-37
"Zwijnaarde",2007,12
"Binnenstad",2008,21
"Bloemekenswijk",2008,97
"Brugse Poort - Rooigem",2008,160
"Dampoort",2008,113
"Drongen",2008,-6
"Elisabethbegijnhof - Papegaai",2008,42
"Gentbrugge",2008,15
"Kanaaldorpen en -zone",2008,17
"Ledeberg",2008,47
"Macharius - Heirnis",2008,80
"Mariakerke",2008,21
"Moscou - Vogelhoek",2008,22
"Muide - Meulestede - Afrikalaan",2008,49
"Nieuw Gent - UZ",2008,68
"Oostakker",2008,3
"Oud Gentbrugge",2008,50
"Rabot - Blaisantvest",2008,116
"Sint Amandsberg",2008,66
"Sint Denijs Westrem",2008,-14
"Sluizeken - Tolhuis - Ham",2008,20
"Stationsbuurt Noord",2008,28
"Stationsbuurt Zuid",2008,16
"Watersportbaan - Ekkergem",2008,-17
"Wondelgem",2008,22
"Zwijnaarde",2008,-14
"Binnenstad",2009,45
"Bloemekenswijk",2009,52
"Brugse Poort - Rooigem",2009,174
"Dampoort",2009,128
"Drongen",2009,14
"Elisabethbegijnhof - Papegaai",2009,7
"Gentbrugge",2009,16
"Kanaaldorpen en -zone",2009,12
"Ledeberg",2009,74
"Macharius - Heirnis",2009,87
"Mariakerke",2009,15
"Moscou - Vogelhoek",2009,61
"Muide - Meulestede - Afrikalaan",2009,52
"Nieuw Gent - UZ",2009,63
"Oostakker",2009,54
"Oud Gentbrugge",2009,73
"Rabot - Blaisantvest",2009,111
"Sint Amandsberg",2009,74
"Sint Denijs Westrem",2009,-46
"Sluizeken - Tolhuis - Ham",2009,13
"Stationsbuurt Noord",2009,44
"Stationsbuurt Zuid",2009,34
"Watersportbaan - Ekkergem",2009,-26
"Wondelgem",2009,-13
"Zwijnaarde",2009,12
