#station_name;Waterloo_P
#station_no;WAT_4_ZRG
#stationparameter_name;N
#parametertype_name;N
#ts_name;P.60
#ts_unitname;millimeter
Date,Hour,Value,Quality Code,Absolute Value,AV Quality Code
vén 1 djanvî 2016,00,0.03,130,,
vén 1 djanvî 2016,01,0,130,,
vén 1 djanvî 2016,02,0,130,,
vén 1 djanvî 2016,03,0,130,,
vén 1 djanvî 2016,04,0,130,,
vén 1 djanvî 2016,05,0,130,,
vén 1 djanvî 2016,06,0,130,,
vén 1 djanvî 2016,07,0,130,,
vén 1 djanvî 2016,08,0,130,,
vén 1 djanvî 2016,09,0,130,,
vén 1 djanvî 2016,10,0,130,,
vén 1 djanvî 2016,11,0,130,,
vén 1 djanvî 2016,12,0,130,,
vén 1 djanvî 2016,13,0,130,,
vén 1 djanvî 2016,14,0,130,,
vén 1 djanvî 2016,15,0,130,,
vén 1 djanvî 2016,16,0,130,,
vén 1 djanvî 2016,17,0,130,,
vén 1 djanvî 2016,18,0,130,,
vén 1 djanvî 2016,19,0,130,,
vén 1 djanvî 2016,20,0,130,,
vén 1 djanvî 2016,21,0,130,,
vén 1 djanvî 2016,22,0,130,,
vén 1 djanvî 2016,23,0,130,,
sem 2 djanvî 2016,00,0,130,,
sem 2 djanvî 2016,01,0,130,,
sem 2 djanvî 2016,02,0.07,130,,
sem 2 djanvî 2016,03,0.29,130,,
sem 2 djanvî 2016,04,0.96,130,,
sem 2 djanvî 2016,05,0.93,130,,
sem 2 djanvî 2016,06,0.28,130,,
sem 2 djanvî 2016,07,0,130,,
sem 2 djanvî 2016,08,0,130,,
sem 2 djanvî 2016,09,0,130,,
sem 2 djanvî 2016,10,0,130,,
sem 2 djanvî 2016,11,0,130,,
sem 2 djanvî 2016,12,0,130,,
sem 2 djanvî 2016,13,0,130,,
sem 2 djanvî 2016,14,0,130,,
sem 2 djanvî 2016,15,0,130,,
sem 2 djanvî 2016,16,0,130,,
sem 2 djanvî 2016,17,0,130,,
sem 2 djanvî 2016,18,0.38,130,,
sem 2 djanvî 2016,19,0.46,130,,
sem 2 djanvî 2016,20,0.08,130,,
sem 2 djanvî 2016,21,0.09,130,,
sem 2 djanvî 2016,22,0.07,130,,
sem 2 djanvî 2016,23,0.98,130,,
dim 3 djanvî 2016,00,0.93,130,,
dim 3 djanvî 2016,01,0.98,130,,
dim 3 djanvî 2016,02,0.15,130,,
dim 3 djanvî 2016,03,0,130,,
dim 3 djanvî 2016,04,0,130,,
dim 3 djanvî 2016,05,0,130,,
dim 3 djanvî 2016,06,0,130,,
dim 3 djanvî 2016,07,0,130,,
dim 3 djanvî 2016,08,0,130,,
dim 3 djanvî 2016,09,0,130,,
dim 3 djanvî 2016,10,0,130,,
dim 3 djanvî 2016,11,0,130,,
dim 3 djanvî 2016,12,0,130,,
dim 3 djanvî 2016,13,0.07,130,,
dim 3 djanvî 2016,14,0.2,130,,
dim 3 djanvî 2016,15,0.57,130,,
dim 3 djanvî 2016,16,1.32,130,,
dim 3 djanvî 2016,17,3.5,130,,
dim 3 djanvî 2016,18,2.21,130,,
dim 3 djanvî 2016,19,2.35,130,,
dim 3 djanvî 2016,20,2.16,130,,
dim 3 djanvî 2016,21,1.1,130,,
dim 3 djanvî 2016,22,0.11,130,,
dim 3 djanvî 2016,23,0.07,130,,
lon 4 djanvî 2016,00,0,130,,
lon 4 djanvî 2016,01,0,130,,
lon 4 djanvî 2016,02,0,130,,
lon 4 djanvî 2016,03,0,130,,
lon 4 djanvî 2016,04,0.05,130,,
lon 4 djanvî 2016,05,0,130,,
lon 4 djanvî 2016,06,0,130,,
lon 4 djanvî 2016,07,0,130,,
lon 4 djanvî 2016,08,0,130,,
lon 4 djanvî 2016,09,0,130,,
lon 4 djanvî 2016,10,0.03,130,,
lon 4 djanvî 2016,11,0.03,130,,
lon 4 djanvî 2016,12,0,130,,
lon 4 djanvî 2016,13,0,130,,
lon 4 djanvî 2016,14,0,130,,
lon 4 djanvî 2016,15,0.03,130,,
lon 4 djanvî 2016,16,0,130,,
lon 4 djanvî 2016,17,0.19,130,,
lon 4 djanvî 2016,18,0.3,130,,
lon 4 djanvî 2016,19,0,130,,
lon 4 djanvî 2016,20,0,130,,
lon 4 djanvî 2016,21,0.03,130,,
lon 4 djanvî 2016,22,0,130,,
lon 4 djanvî 2016,23,0,130,,
mår 5 djanvî 2016,00,0,130,,
mår 5 djanvî 2016,01,0,130,,
mår 5 djanvî 2016,02,0,130,,
mår 5 djanvî 2016,03,0,130,,
mår 5 djanvî 2016,04,0,130,,
mår 5 djanvî 2016,05,0,130,,
mår 5 djanvî 2016,06,0,130,,
mår 5 djanvî 2016,07,0,130,,
mår 5 djanvî 2016,08,0,130,,
mår 5 djanvî 2016,09,0,130,,
mår 5 djanvî 2016,10,0,130,,
mår 5 djanvî 2016,11,0,130,,
mår 5 djanvî 2016,12,0,130,,
mår 5 djanvî 2016,13,0,130,,
mår 5 djanvî 2016,14,0,130,,
mår 5 djanvî 2016,15,0,130,,
mår 5 djanvî 2016,16,0,130,,
mår 5 djanvî 2016,17,0,130,,
mår 5 djanvî 2016,18,0,130,,
mår 5 djanvî 2016,19,0,130,,
mår 5 djanvî 2016,20,0,130,,
mår 5 djanvî 2016,21,0,130,,
mår 5 djanvî 2016,22,0,130,,
mår 5 djanvî 2016,23,0,130,,
mie 6 djanvî 2016,00,0,130,,
mie 6 djanvî 2016,01,0,130,,
mie 6 djanvî 2016,02,0,130,,
mie 6 djanvî 2016,03,0,130,,
mie 6 djanvî 2016,04,0,130,,
mie 6 djanvî 2016,05,0,130,,
mie 6 djanvî 2016,06,0.31,130,,
mie 6 djanvî 2016,07,0.19,130,,
mie 6 djanvî 2016,08,0,130,,
mie 6 djanvî 2016,09,0,130,,
mie 6 djanvî 2016,10,0.03,130,,
mie 6 djanvî 2016,11,0,130,,
mie 6 djanvî 2016,12,0,130,,
mie 6 djanvî 2016,13,0,130,,
mie 6 djanvî 2016,14,0,130,,
mie 6 djanvî 2016,15,0,130,,
mie 6 djanvî 2016,16,0,130,,
mie 6 djanvî 2016,17,0,130,,
mie 6 djanvî 2016,18,0,130,,
mie 6 djanvî 2016,19,0,130,,
mie 6 djanvî 2016,20,0,130,,
mie 6 djanvî 2016,21,0,130,,
mie 6 djanvî 2016,22,0,130,,
mie 6 djanvî 2016,23,0,130,,
dju 7 djanvî 2016,00,0,130,,
dju 7 djanvî 2016,01,0,130,,
dju 7 djanvî 2016,02,0,130,,
dju 7 djanvî 2016,03,0,130,,
dju 7 djanvî 2016,04,0,130,,
dju 7 djanvî 2016,05,0,130,,
dju 7 djanvî 2016,06,0,130,,
dju 7 djanvî 2016,07,0,130,,
dju 7 djanvî 2016,08,0.35,130,,
dju 7 djanvî 2016,09,2.21,130,,
dju 7 djanvî 2016,10,3.23,130,,
dju 7 djanvî 2016,11,2.69,130,,
dju 7 djanvî 2016,12,1.98,130,,
dju 7 djanvî 2016,13,1.86,130,,
dju 7 djanvî 2016,14,0,130,,
dju 7 djanvî 2016,15,0.31,130,,
dju 7 djanvî 2016,16,0.35,130,,
dju 7 djanvî 2016,17,0,130,,
dju 7 djanvî 2016,18,0,130,,
dju 7 djanvî 2016,19,0,130,,
dju 7 djanvî 2016,20,0,130,,
dju 7 djanvî 2016,21,0,130,,
dju 7 djanvî 2016,22,0,130,,
dju 7 djanvî 2016,23,0,130,,
lon 1 fevrî 2016,00,0,130,,
lon 1 fevrî 2016,01,0,130,,
lon 1 fevrî 2016,02,0,130,,
lon 1 fevrî 2016,03,0,130,,
lon 1 fevrî 2016,04,0,130,,
lon 1 fevrî 2016,05,0,130,,
lon 1 fevrî 2016,06,0,130,,
lon 1 fevrî 2016,07,0,130,,
lon 1 fevrî 2016,08,0,130,,
lon 1 fevrî 2016,09,0,130,,
lon 1 fevrî 2016,10,0,130,,
lon 1 fevrî 2016,11,0,130,,
lon 1 fevrî 2016,12,0,130,,
lon 1 fevrî 2016,13,0,130,,
lon 1 fevrî 2016,14,0,130,,
lon 1 fevrî 2016,15,0,130,,
lon 1 fevrî 2016,16,0,130,,
lon 1 fevrî 2016,17,0.09,130,,
lon 1 fevrî 2016,18,0,130,,
lon 1 fevrî 2016,19,0,130,,
lon 1 fevrî 2016,20,0.26,130,,
lon 1 fevrî 2016,21,0.3,130,,
lon 1 fevrî 2016,22,0,130,,
lon 1 fevrî 2016,23,0,130,,
mår 2 fevrî 2016,00,0,130,,
mår 2 fevrî 2016,01,0,130,,
mår 2 fevrî 2016,02,0,130,,
mår 2 fevrî 2016,03,0,130,,
mår 2 fevrî 2016,04,0,130,,
mår 2 fevrî 2016,05,0,130,,
mår 2 fevrî 2016,06,0,130,,
mår 2 fevrî 2016,07,0,130,,
mår 2 fevrî 2016,08,0,130,,
mår 2 fevrî 2016,09,0,130,,
mår 2 fevrî 2016,10,0,130,,
mår 2 fevrî 2016,11,0.21,130,,
mår 2 fevrî 2016,12,0.13,130,,
mår 2 fevrî 2016,13,0.3,130,,
mår 2 fevrî 2016,14,0,130,,
mår 2 fevrî 2016,15,0,130,,
mår 2 fevrî 2016,16,0,130,,
mår 2 fevrî 2016,17,0,130,,
mår 2 fevrî 2016,18,0,130,,
mår 2 fevrî 2016,19,0,130,,
mår 2 fevrî 2016,20,0,130,,
mår 2 fevrî 2016,21,0,130,,
mår 2 fevrî 2016,22,0,130,,
mår 2 fevrî 2016,23,0,130,,
mie 3 fevrî 2016,00,0,130,,
mie 3 fevrî 2016,01,0,130,,
mie 3 fevrî 2016,02,0,130,,
mie 3 fevrî 2016,03,0,130,,
mie 3 fevrî 2016,04,0,130,,
mie 3 fevrî 2016,05,0,130,,
mie 3 fevrî 2016,06,0,130,,
mie 3 fevrî 2016,07,0,130,,
mie 3 fevrî 2016,08,0,130,,
mie 3 fevrî 2016,09,0,130,,
mie 3 fevrî 2016,10,0,130,,
mie 3 fevrî 2016,11,0,130,,
mie 3 fevrî 2016,12,1.67,130,,
mie 3 fevrî 2016,13,0.49,130,,
mie 3 fevrî 2016,14,0.3,130,,
mie 3 fevrî 2016,15,0,130,,
mie 3 fevrî 2016,16,0,130,,
mie 3 fevrî 2016,17,0,130,,
mie 3 fevrî 2016,18,0,130,,
mie 3 fevrî 2016,19,0,130,,
mie 3 fevrî 2016,20,0,130,,
mie 3 fevrî 2016,21,0,130,,
mie 3 fevrî 2016,22,0,130,,
mie 3 fevrî 2016,23,0,130,,
dju 4 fevrî 2016,00,0,130,,
dju 4 fevrî 2016,01,0,130,,
dju 4 fevrî 2016,02,0,130,,
dju 4 fevrî 2016,03,0,130,,
dju 4 fevrî 2016,04,0,130,,
dju 4 fevrî 2016,05,0,130,,
dju 4 fevrî 2016,06,0,130,,
dju 4 fevrî 2016,07,1.39,130,,
dju 4 fevrî 2016,08,1.92,130,,
dju 4 fevrî 2016,09,1.33,130,,
dju 4 fevrî 2016,10,0.11,130,,
dju 4 fevrî 2016,11,0,130,,
dju 4 fevrî 2016,12,0,130,,
dju 4 fevrî 2016,13,0,130,,
dju 4 fevrî 2016,14,0,130,,
dju 4 fevrî 2016,15,0,130,,
dju 4 fevrî 2016,16,0.18,130,,
dju 4 fevrî 2016,17,0,130,,
dju 4 fevrî 2016,18,0,130,,
dju 4 fevrî 2016,19,0,130,,
dju 4 fevrî 2016,20,0,130,,
dju 4 fevrî 2016,21,0,130,,
dju 4 fevrî 2016,22,0,130,,
dju 4 fevrî 2016,23,0,130,,
vén 5 fevrî 2016,00,0,130,,
vén 5 fevrî 2016,01,0,130,,
vén 5 fevrî 2016,02,0,130,,
vén 5 fevrî 2016,03,0,130,,
vén 5 fevrî 2016,04,0,130,,
vén 5 fevrî 2016,05,0,130,,
vén 5 fevrî 2016,06,0,130,,
vén 5 fevrî 2016,07,0,130,,
vén 5 fevrî 2016,08,0,130,,
vén 5 fevrî 2016,09,0,130,,
vén 5 fevrî 2016,10,0,130,,
vén 5 fevrî 2016,11,0,130,,
vén 5 fevrî 2016,12,0,130,,
vén 5 fevrî 2016,13,0,130,,
vén 5 fevrî 2016,14,0,130,,
vén 5 fevrî 2016,15,0,130,,
vén 5 fevrî 2016,16,0,130,,
vén 5 fevrî 2016,17,0,130,,
vén 5 fevrî 2016,18,0,130,,
vén 5 fevrî 2016,19,0,130,,
vén 5 fevrî 2016,20,0,130,,
vén 5 fevrî 2016,21,0,130,,
vén 5 fevrî 2016,22,0,130,,
vén 5 fevrî 2016,23,0,130,,
sem 6 fevrî 2016,00,0,130,,
sem 6 fevrî 2016,01,0,130,,
sem 6 fevrî 2016,02,0,130,,
sem 6 fevrî 2016,03,0,130,,
sem 6 fevrî 2016,04,0,130,,
sem 6 fevrî 2016,05,0,130,,
sem 6 fevrî 2016,06,0,130,,
sem 6 fevrî 2016,07,0,130,,
sem 6 fevrî 2016,08,0,130,,
sem 6 fevrî 2016,09,0,130,,
sem 6 fevrî 2016,10,0,130,,
sem 6 fevrî 2016,11,0,130,,
sem 6 fevrî 2016,12,0,130,,
sem 6 fevrî 2016,13,0,130,,
sem 6 fevrî 2016,14,0,130,,
sem 6 fevrî 2016,15,0,130,,
sem 6 fevrî 2016,16,0,130,,
sem 6 fevrî 2016,17,0,130,,
sem 6 fevrî 2016,18,0,130,,
sem 6 fevrî 2016,19,0,130,,
sem 6 fevrî 2016,20,0,130,,
sem 6 fevrî 2016,21,0,130,,
sem 6 fevrî 2016,22,0,130,,
sem 6 fevrî 2016,23,0,130,,
dim 7 fevrî 2016,00,0,130,,
dim 7 fevrî 2016,01,0,130,,
dim 7 fevrî 2016,02,0,130,,
dim 7 fevrî 2016,03,0.82,130,,
dim 7 fevrî 2016,04,0.67,130,,
dim 7 fevrî 2016,05,0,130,,
dim 7 fevrî 2016,06,0,130,,
dim 7 fevrî 2016,07,0,130,,
dim 7 fevrî 2016,08,0.63,130,,
dim 7 fevrî 2016,09,0,130,,
dim 7 fevrî 2016,10,0.04,130,,
dim 7 fevrî 2016,11,0,130,,
dim 7 fevrî 2016,12,0,130,,
dim 7 fevrî 2016,13,0.18,130,,
dim 7 fevrî 2016,14,0,130,,
dim 7 fevrî 2016,15,0,130,,
dim 7 fevrî 2016,16,0,130,,
dim 7 fevrî 2016,17,0,130,,
dim 7 fevrî 2016,18,0,130,,
dim 7 fevrî 2016,19,0,130,,
dim 7 fevrî 2016,20,0,130,,
dim 7 fevrî 2016,21,0,130,,
dim 7 fevrî 2016,22,0,130,,
dim 7 fevrî 2016,23,0.1,130,,
mår 1 måss 2016,00,0,130,,
mår 1 måss 2016,01,0,130,,
mår 1 måss 2016,02,0,130,,
mår 1 måss 2016,03,0,130,,
mår 1 måss 2016,04,0,130,,
mår 1 måss 2016,05,0,130,,
mår 1 måss 2016,06,0,130,,
mår 1 måss 2016,07,0,130,,
mår 1 måss 2016,08,0,130,,
mår 1 måss 2016,09,0.37,130,,
mår 1 måss 2016,10,0.26,130,,
mår 1 måss 2016,11,0.72,130,,
mår 1 måss 2016,12,0.58,130,,
mår 1 måss 2016,13,0,130,,
mår 1 måss 2016,14,1.41,130,,
mår 1 måss 2016,15,1.44,130,,
mår 1 måss 2016,16,0.3,130,,
mår 1 måss 2016,17,0.3,130,,
mår 1 måss 2016,18,0.6,130,,
mår 1 måss 2016,19,0.1,130,,
mår 1 måss 2016,20,0,130,,
mår 1 måss 2016,21,0,130,,
mår 1 måss 2016,22,0,130,,
mår 1 måss 2016,23,0,130,,
mie 2 måss 2016,00,0,130,,
mie 2 måss 2016,01,0,130,,
mie 2 måss 2016,02,0,130,,
mie 2 måss 2016,03,0,130,,
mie 2 måss 2016,04,0,130,,
mie 2 måss 2016,05,0.08,130,,
mie 2 måss 2016,06,2.46,130,,
mie 2 måss 2016,07,0.05,130,,
mie 2 måss 2016,08,0,130,,
mie 2 måss 2016,09,0,130,,
mie 2 måss 2016,10,0,130,,
mie 2 måss 2016,11,0,130,,
mie 2 måss 2016,12,0.04,130,,
mie 2 måss 2016,13,0.42,130,,
mie 2 måss 2016,14,0.3,130,,
mie 2 måss 2016,15,2.22,130,,
mie 2 måss 2016,16,0.37,130,,
mie 2 måss 2016,17,0.15,130,,
mie 2 måss 2016,18,0,130,,
mie 2 måss 2016,19,0,130,,
mie 2 måss 2016,20,0,130,,
mie 2 måss 2016,21,0,130,,
mie 2 måss 2016,22,0,130,,
mie 2 måss 2016,23,0,130,,
dju 3 måss 2016,00,0.43,130,,
dju 3 måss 2016,01,1.97,130,,
dju 3 måss 2016,02,0.93,130,,
dju 3 måss 2016,03,0.89,130,,
dju 3 måss 2016,04,0,130,,
dju 3 måss 2016,05,0.71,130,,
dju 3 måss 2016,06,0.52,130,,
dju 3 måss 2016,07,0,130,,
dju 3 måss 2016,08,0,130,,
dju 3 måss 2016,09,0.04,130,,
dju 3 måss 2016,10,0,130,,
dju 3 måss 2016,11,0.17,130,,
dju 3 måss 2016,12,0.04,130,,
dju 3 måss 2016,13,0,130,,
dju 3 måss 2016,14,0,130,,
dju 3 måss 2016,15,0,130,,
dju 3 måss 2016,16,0,130,,
dju 3 måss 2016,17,0,130,,
dju 3 måss 2016,18,0,130,,
dju 3 måss 2016,19,0,130,,
dju 3 måss 2016,20,0,130,,
dju 3 måss 2016,21,0,130,,
dju 3 måss 2016,22,0,130,,
dju 3 måss 2016,23,0,130,,
vén 4 måss 2016,00,0,130,,
vén 4 måss 2016,01,0,130,,
vén 4 måss 2016,02,0.25,130,,
vén 4 måss 2016,03,1.58,130,,
vén 4 måss 2016,04,2.37,130,,
vén 4 måss 2016,05,0.28,130,,
vén 4 måss 2016,06,1.92,130,,
vén 4 måss 2016,07,1.47,130,,
vén 4 måss 2016,08,2.8,130,,
vén 4 måss 2016,09,0.04,130,,
vén 4 måss 2016,10,0,130,,
vén 4 måss 2016,11,0.06,130,,
vén 4 måss 2016,12,0,130,,
vén 4 måss 2016,13,0,130,,
vén 4 måss 2016,14,0,130,,
vén 4 måss 2016,15,0,130,,
vén 4 måss 2016,16,0,130,,
vén 4 måss 2016,17,0,130,,
vén 4 måss 2016,18,0,130,,
vén 4 måss 2016,19,0,130,,
vén 4 måss 2016,20,0,130,,
vén 4 måss 2016,21,0,130,,
vén 4 måss 2016,22,0,130,,
vén 4 måss 2016,23,0,130,,
sem 5 måss 2016,00,0,130,,
sem 5 måss 2016,01,0,130,,
sem 5 måss 2016,02,0,130,,
sem 5 måss 2016,03,0,130,,
sem 5 måss 2016,04,0,130,,
sem 5 måss 2016,05,0,130,,
sem 5 måss 2016,06,0,130,,
sem 5 måss 2016,07,0,130,,
sem 5 måss 2016,08,0,130,,
sem 5 måss 2016,09,0,130,,
sem 5 måss 2016,10,0,130,,
sem 5 måss 2016,11,0,130,,
sem 5 måss 2016,12,0,130,,
sem 5 måss 2016,13,0,130,,
sem 5 måss 2016,14,0,130,,
sem 5 måss 2016,15,0,130,,
sem 5 måss 2016,16,0.57,130,,
sem 5 måss 2016,17,0.44,130,,
sem 5 måss 2016,18,1.47,130,,
sem 5 måss 2016,19,1.44,130,,
sem 5 måss 2016,20,1.53,130,,
sem 5 måss 2016,21,0.33,130,,
sem 5 måss 2016,22,0.04,130,,
sem 5 måss 2016,23,0,130,,
dim 6 måss 2016,00,0,130,,
dim 6 måss 2016,01,0.25,130,,
dim 6 måss 2016,02,1.65,130,,
dim 6 måss 2016,03,0.51,130,,
dim 6 måss 2016,04,0.32,130,,
dim 6 måss 2016,05,1.01,130,,
dim 6 måss 2016,06,0.8,130,,
dim 6 måss 2016,07,1.03,130,,
dim 6 måss 2016,08,4.66,130,,
dim 6 måss 2016,09,0.72,130,,
dim 6 måss 2016,10,1.22,130,,
dim 6 måss 2016,11,0.92,130,,
dim 6 måss 2016,12,0,130,,
dim 6 måss 2016,13,0.36,130,,
dim 6 måss 2016,14,0.05,130,,
dim 6 måss 2016,15,0,130,,
dim 6 måss 2016,16,0,130,,
dim 6 måss 2016,17,0,130,,
dim 6 måss 2016,18,0,130,,
dim 6 måss 2016,19,0.14,130,,
dim 6 måss 2016,20,1.47,130,,
dim 6 måss 2016,21,0,130,,
dim 6 måss 2016,22,0,130,,
dim 6 måss 2016,23,1.4,130,,
lon 7 måss 2016,00,0.1,130,,
lon 7 måss 2016,01,0,130,,
lon 7 måss 2016,02,0,130,,
lon 7 måss 2016,03,2.23,130,,
lon 7 måss 2016,04,0.9,130,,
lon 7 måss 2016,05,2,130,,
lon 7 måss 2016,06,1,130,,
lon 7 måss 2016,07,1.34,130,,
lon 7 måss 2016,08,0.6,130,,
lon 7 måss 2016,09,0.04,130,,
lon 7 måss 2016,10,0,130,,
lon 7 måss 2016,11,0,130,,
lon 7 måss 2016,12,0.28,130,,
lon 7 måss 2016,13,1.2,130,,
lon 7 måss 2016,14,1.1,130,,
lon 7 måss 2016,15,0.08,130,,
lon 7 måss 2016,16,0,130,,
lon 7 måss 2016,17,0,130,,
lon 7 måss 2016,18,0,130,,
lon 7 måss 2016,19,0,130,,
lon 7 måss 2016,20,0.05,130,,
lon 7 måss 2016,21,0,130,,
lon 7 måss 2016,22,0,130,,
lon 7 måss 2016,23,0,130,,
