record_type,column_name
deployment,deployment_id
deployment,location_id
deployment,location_name
deployment,longitude
deployment,latitude
deployment,start
deployment,end
deployment,setup_by
deployment,camera_id
deployment,camera_model
deployment,camera_interval
deployment,camera_height
deployment,bait_use
deployment,feature_type
deployment,tags
deployment,comments
multimedia,multimedia_id
multimedia,deployment_id
multimedia,sequence_id
multimedia,timestamp
multimedia,file_path
multimedia,file_name
multimedia,file_mediatype
multimedia,comments
observation,observation_id
observation,deployment_id
observation,sequence_id
observation,multimedia_id
observation,timestamp
observation,observation_type
observation,sensor_method
observation,camera_setup
observation,scientific_name
observation,vernacular_name
observation,count
observation,age
observation,sex
observation,behaviour
observation,individual_id
observation,classification_method
observation,classified_by
observation,classification_timestamp
observation,classification_confidence
observation,comments